state,election_date,election_type,jurisdiction,ocd_division_id,name,election_id,source_url
TX,2025-11-04,Special,state,ocd-division/country:us/state:tx,2025 SPECIAL ELECTION CONGRESSIONAL DISTRICT 18,51742,
TX,2025-11-04,Special,state,ocd-division/country:us/state:tx,2025 SPECIAL ELECTION SENATE DISTRICT 9,51830,
