state,election_date,election_type,jurisdiction,ocd_division_id,name,election_id,source_url
WA,2026-08-04,Primary,state,ocd-division/country:us/state:wa,PRIMARY 2026,898,https://voter.votewa.gov/CandidateList.aspx?e=898
WA,2026-11-03,General,state,ocd-division/country:us/state:wa,GENERAL 2026,899,https://voter.votewa.gov/CandidateList.aspx?e=899
